customer_id,FN,Active,club_member_status,fashion_news_frequency,age,postal_code
0043d69dcca282763b8db18f967a2d301e69d5966bebd74291c49a0812663223,1.0,1.0,ACTIVE,Regularly,31,9f56191976e30eca2195152fcd057eb6c6bac204134099caed6cfe09132dc89b
008011b65328e91de7dca4172d414872040ca1efd18a713420f565e898276628,1.0,1.0,ACTIVE,Regularly,43,7dd4dd648b9eea286eb55609d46e8f9d04a3885fe0ebdc8a8ed9cc818832dec2
009d1f01410c945ed5f25c733f2c8261c5f17800fab8b4c8875efee404ca59fc,,,ACTIVE,NONE,51,193d006133fd3a00999562d5e4c7ca2ecdb23b7297e15b3ed8f150f5cf76783e
00fe8fb9b5a49ed8c38699c1860847c266f288da271b1c718f0179ac026080e4,1.0,1.0,ACTIVE,Regularly,39,0d5d9222f0869486c6cc8517f4fae5460c031cbd3a4117955c914508bec0bd49
010d830146f48546e81e5a98e65a304ffc30e8ddb82302ac1adb6ecbdf90b8bf,1.0,1.0,ACTIVE,Regularly,26,6eaca966485a5752130e8b16069d04e01508a749dec55222fbd54bf94c62f302
012a71bf4f614c1163c523885eba6f2f7992d8be928ec3b0f441c6d1004437c2,,,ACTIVE,NONE,25,fcf938872420434527eb752f103a78565ffdae2875bd0b359bb4a5c286483705
018226b16cdedadc1e73bad99ed0605bac5c8d7ffa57c9eb527b24301f2d036a,,,ACTIVE,NONE,52,3eba19130a20caa6cfaf4994a8c7c96f556b857f4ff5da1befa11e172540dc1d
0196e614bdffd9963ae9eed1e547c84233bb7bf6b6b7bbe4fe0f8b68662ff995,,,ACTIVE,NONE,51,d2ac913a89466217a034fea76f9d46ed1eacf6794db991e046759221319ba0a1
01bb2dbff001cf89f573edc97044fe95db2d50e88674fb8731e6906590d2bdde,,,ACTIVE,NONE,67,53ce4910476140861357cc2e4fabb71f1a1c19a0fdadb9add6aa63c77f5b9123
021a3378b79a02037826cfa0fc50697c38ebd58f5d3d3a8a4abdc8e6736c3fa0,,,ACTIVE,NONE,56,eac2528fb07029e42b6867c3a9a299ffcf821bb4272275d63c2432b0955f508c
022312161b080d3cdc45c97915a4f9d5490889fe2c0a7df7f8d9ff817227ff46,,,ACTIVE,NONE,30,389be36c23ee06f47333e8eb7108157b603947cedeb431c7ef93a4c14bdbb4b7
0272372803f9985397f43f74bbcd85716377407d527d91cbf7ee43c4f53bae50,1.0,1.0,ACTIVE,Regularly,40,934add3899db5855ee6a6438eccde3f69005cdb24e24f5e53ead5dfa3cae20c3
0272f36335c7010611d058825d7c46a65a9a83252c1735f0891505dd53a6c634,1.0,1.0,ACTIVE,Regularly,20,ad9bbabc1794382c9db3b5ccf61c89ad0583c000a50d5826efb5e5ab5ba9e682
027fc9967afc151b64c3c697c4b806cc20f82a94b9751eb5d19f4e6ac7a35115,1.0,1.0,ACTIVE,Regularly,46,05ac6aafcefa11e51c4a3055e33a36161957535d5800b1d1074ae0c86f992d32
0286813f82495eaa40c83b061cdd0bb67b27ca12ca2d140020783ece6563f873,1.0,1.0,ACTIVE,Regularly,19,b07eb7a7f8ac72d9dc86c58469b51ee112d970c9db55ca626df2943569ed6dba
029e6a5c61424bbbf653fdff661beb6a4f2dab12ceb2374c2f13e1800aa73628,1.0,1.0,ACTIVE,Regularly,45,2e5819401b4158bf55427588450d0223baf0928ab227f831c18c79533200a559
02acec8b45ec4fc2ce99508d286b7eab171338f17413f3276bdf6d1d6224125f,1.0,1.0,ACTIVE,Regularly,51,1988fbb19d172f11f8a910e084dc0ed58de83bb09db1d2144c58295318d34e7a
02ba264ea5c7130504924f49228bcbaaa9ee96b76a6b4b0a16e19e691cf59f7b,,,ACTIVE,NONE,27,e9cd3dcf1159bc919b7284ca5096f4853fe25a6d089e037c2e7b4d51ed214235
02f726450d7617bb0644d00ccabfdf85ac1fdf14b2aa21327c03bf2abc5bb8b2,1.0,1.0,ACTIVE,Regularly,48,72c8a296132d7d320eacd140af9a6135d56f6c048b05d0db5a38cb79b88b51c8
031f727fde00e9576147f18dddc9d3a6a5c6205992942f97c2be0ec89c74980c,,,ACTIVE,NONE,36,ed368dcaaca6a10952278692bcbea20373653dc766a56ceca5a8085064aae830
0329f6a6682ad231723108c556d0861d8ff8a2fc5d843e3cdda9af4541b3c45c,,,ACTIVE,NONE,28,c9135a82173aa260a4317ea7cb9231eb91410b7d1a4c383073401793bdaaf26f
03619a8b7c65a6f4d03161ed03fa3218e474f9d6b8474fe8405274fb71788391,,,ACTIVE,NONE,70,fe4dff952ae8d63505b707889daa8f9de8b88d5fa0c4dd7642638f0c826bf5cd
0361c2b7a5abdf54d05b12f6afa5177883886ea897db750a3719a6f620d7a7b6,,,ACTIVE,NONE,28,2ed0b24323eb7c9787ce06b287b92fc2a78a6dd27154bd76c12cf4ae2f2acacc
0380dac4030faf7453547d020f20d89be02cd87ab54864cd97d55d5160ffee29,,,ACTIVE,NONE,28,e0ea98a9bb9f6e705438c4d67bc599703a94003f5c82688c1dd7956d2b90b5fc
03d26a2ca2481badbfa05ba887d1a7293f11ed3ebc5082066ee0565e6a806644,1.0,1.0,ACTIVE,Regularly,57,ee73e0fce94f0708177e5c9bbd6fecc89d72b071c9f6e98e81c4ef5dff2bba90
03e243ef4f6917ae50fc1511455178a58942cd24eff55f4b9a5a6ce12de01afd,,,ACTIVE,NONE,21,9daa33edf1880c931054965ab050521fd7e8d8e97bd7d008513d0cd18db48f7d
0448970a557746722e64b782bf8c06c82ef81f1739d9f8e429f70af9a005aed5,1.0,1.0,ACTIVE,Regularly,45,70e22c5e2ea92c1574f6f113857f46ade9510ddc7520c0c0c5ba6e894812e48d
04a99fd1188b3732cd1a24eff64b5c7746c8453be33f4e9f64d7fd0c761586ec,,,ACTIVE,NONE,21,b47094bc08ad222806450ba7fad8e0151399551128c8ba77ae5037738c2e1cd9
0510081d8bbf3763a9c17a036c8399cbb46e5426d69278c4b71018bdd389c82d,,,ACTIVE,NONE,30,ca195eac2540cde8e3b4c47971dcfb9b6cf4ecee8c0a2a994f2b3df149ac2bfd
0548af1193ff05e1bf7e8afb4ba8e9a13d49ebc21b72e4d24c0768798eb1e258,,,ACTIVE,NONE,21,3ebabfb9a786f4c18c288db30bc3e3d8d3e278d405338f74daa4d20c79b6e906
055d51f2817330abf9c2cbd36536fb3bb8475e4240db23735cd38e0cb25d349a,,,ACTIVE,NONE,26,0c6b7680e4a4272de7a32b48fa04508fe9bb9718fc44c58f3fcd03d1fdb9436e
056c5e93bd38bb8969ef2452b9853c0d40e40caf0ab0231e62c598efb7eae0db,,,ACTIVE,NONE,34,645639f2b85d8e49ca7504d8d1f9ecebd77a88ff4e713195a65047d1919f7294
