experiment_id,variant,map12,recall12,delta_vs_baseline,delta_pct,n_candidates,recall_ceiling,memory_mb,duration_sec,description
A1,3w,0.02681,0.05459,0.00742,38.27,72223,0.0687,2048.3,0.36,"Horizonte temporal de 3 semanas (3,868 transacciones)"
A1,5w,0.01939,0.05129,0.0,0.0,114202,0.0821,2102.8,0.4,"Horizonte temporal de 5 semanas (7,592 transacciones)"
A1,8w,0.01832,0.04641,-0.00107,-5.52,125023,0.0968,2129.6,0.42,"Horizonte temporal de 8 semanas (11,031 transacciones)"
A1,10w,0.01445,0.04658,-0.00494,-25.48,129510,0.0977,2137.5,0.43,"Horizonte temporal de 10 semanas (13,135 transacciones)"
A2,Full (R1..R8),0.0239,0.05133,0.0,0.0,119053,0.0891,2150.6,0.35,Arquitectura multi-fuente consolidada
A2,Sin R1 (Repurchase),0.02476,0.05235,0.00086,3.58,115648,0.0857,2153.6,0.3,Prescindiendo de recompra histórica personal
A2,Sin R2 (Pop Global),0.01945,0.0477,-0.00446,-18.65,106792,0.0841,2157.3,0.28,Prescindiendo de popularidad global con decaimiento
A2,Sin R3 (Pop Edad),0.01608,0.04223,-0.00782,-32.73,102142,0.0742,2166.0,0.27,Prescindiendo de popularidad segmentada por edad
A2,Sin R4 (Pop Canal),0.0171,0.04513,-0.0068,-28.46,110621,0.088,2152.6,0.29,Prescindiendo de preferencia omnicanal físico/online
A2,Sin R5 (Item-CF),0.02364,0.0507,-0.00027,-1.11,115975,0.0894,2158.3,0.3,Prescindiendo de filtrado colaborativo ítem-ítem
A2,Sin R6 (Familias),0.02234,0.04898,-0.00157,-6.57,100258,0.0849,2151.3,0.28,Prescindiendo de afinidad a familias de producto
A2,Sin R7 (Trending),0.02147,0.05304,-0.00244,-10.2,109053,0.0782,2153.3,0.29,Prescindiendo de aceleración de demanda inter-semanal
A2,Sin R8 (Dept Popularity),0.02208,0.04879,-0.00183,-7.64,107855,0.0856,2157.7,0.3,Prescindiendo de popularidad en depto favorito
A3,Con Source Flags (39 features),0.02372,0.05239,0.0,0.0,16722720,0.0827,2140.2,41.28,Modelo completo con señales bayesianas de heurística
A3,Sin Source Flags (31 features),0.02257,0.05124,-0.00115,-4.84,16722720,0.0827,6351.0,34.16,Modelo agnóstico al canal heurístico generador
A4,Ratio 1:3,0.02324,0.05214,-0.00048,-2.02,3889156,0.0827,4955.8,38.79,"Entrenamiento con ratio 1:3 (3,889,156 filas)"
A4,Ratio 1:5,0.02372,0.05239,0.0,0.0,5652166,0.0827,7299.0,46.29,"Entrenamiento con ratio 1:5 (5,652,166 filas)"
