feature,gain_importance,split_importance,gain_pct
uxa_days_since_last_purchase,2454267.5716072666,95,71.54504
is_R1,949588.4517859331,39,27.681717
best_rank,12801.684147523447,634,0.37318546
uxa_repurchase_count,10898.409252153555,111,0.31770256
a_is_recent_introduction,1404.4036564175383,279,0.04094016
is_R5,658.4548013895948,181,0.019194799
u_online_ratio,379.297145947801,359,0.011056996
u_unique_articles,176.22592002668003,517,0.0051372107
u_total_transactions,103.08849512781393,274,0.0030051614
is_R6,24.40253730382156,21,0.00071136514
a_sales_decayed,12.472279594244242,37,0.0003635829
u_age,9.55920368603438,24,0.000278663
source_diversity_score,9.262957222284953,67,0.00027002703
a_department_no,8.976408126589547,55,0.00026167376
uxa_dept_affinity,5.797874953532528,48,0.00016901546
is_exploration_candidate,5.364075807156041,8,0.00015636966
n_sources,4.294604161398993,65,0.0001251932
u_std_price,4.143226627553304,22,0.00012078035
a_unique_customers,3.335517645059909,31,0.0000972346
a_sales_count,3.2922229118815522,53,0.0000959725
a_product_type_no,2.646121106318674,11,0.00007713781
uxa_price_ratio,2.5722583032139994,15,0.000074984615
u_last_purchase_days_ago,1.6820240695064967,14,0.00004903315
u_fashion_news,1.296603465891394,7,0.000037797647
uxa_price_diff,1.253019944706466,11,0.000036527133
u_mean_price,0.8775557097883038,11,0.00002558187
is_R8,0.7153056878407824,3,0.000020852074
a_mean_price,0.5509950484773753,33,0.00001606221
is_R4,0.5129040107131004,2,0.000014951807
a_graphical_appearance_no,0.47718799114227295,1,0.00001391064
is_personal_candidate,0.20783500373363495,1,0.000006058656
a_colour_group_code,0.06753390096127987,2,0.0000019686995
uxa_is_favorite_dept,0.056890786334406585,8,0.000001658439
u_club_status,0.016227299347519875,1,4.730465e-7
uxa_channel_affinity,0.0003111510013695806,1,9.070449e-9
uxa_bought_dept_before,0.0,0,0.0
is_R2,0.0,0,0.0
is_R3,0.0,0,0.0
is_R7,0.0,0,0.0
